source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
multi,4,2,72,True,multi_bound_constraint,frac_constrained=0.258 >= 0.150,31,0,8,23,0.0,0.25806451612903225,0.7419354838709677,0,2,bound,0.7419354838709677,bound_constraint,"constrained,bound"
multi,4,2,74,True,multi_bound_constraint,frac_constrained=0.467 >= 0.150,15,0,7,8,0.0,0.4666666666666667,0.5333333333333333,0,2,bound,0.5333333333333333,bound_constraint,"constrained,bound"
multi,4,2,75,True,multi_all_three,frac_constrained=0.380 > 0.150; max_consecutive_diffusive=3 < 4,50,6,19,25,0.12,0.38,0.5,3,2,bound,0.5,all_three,"diffusive,constrained,bound"
multi,4,2,76,False,reject_constraint_diffusion,"frac_constrained=0.455, max_consecutive_diffusive=9",22,12,10,0,0.5454545454545454,0.45454545454545453,0.0,9,0,diffusive,0.5454545454545454,constraint_diffusion,"diffusive,constrained"
multi,4,2,78,True,multi_bound_constraint,frac_constrained=0.692 >= 0.150,52,0,36,16,0.0,0.6923076923076923,0.3076923076923077,0,1,constrained,0.6923076923076923,bound_constraint,"constrained,bound"
multi,4,2,80,False,reject_constraint_diffusion,"frac_constrained=0.690, max_consecutive_diffusive=5",29,9,20,0,0.3103448275862069,0.6896551724137931,0.0,5,1,constrained,0.6896551724137931,constraint_diffusion,"diffusive,constrained"
multi,4,2,81,False,reject_all_three,"frac_constrained=0.174, max_consecutive_diffusive=4",46,4,8,34,0.08695652173913043,0.17391304347826086,0.7391304347826086,4,2,bound,0.7391304347826086,all_three,"diffusive,constrained,bound"
multi,4,2,82,False,reject_constraint_diffusion,"frac_constrained=0.500, max_consecutive_diffusive=8",34,17,17,0,0.5,0.5,0.0,8,1,constrained,0.5,constraint_diffusion,"diffusive,constrained"
multi,4,2,84,True,multi_bound_constraint,frac_constrained=0.227 >= 0.150,22,0,5,17,0.0,0.22727272727272727,0.7727272727272727,0,2,bound,0.7727272727272727,bound_constraint,"constrained,bound"
multi,4,2,88,False,reject_constraint_diffusion,"frac_constrained=0.217, max_consecutive_diffusive=20",46,36,10,0,0.782608695652174,0.21739130434782608,0.0,20,0,diffusive,0.782608695652174,constraint_diffusion,"diffusive,constrained"
multi,4,2,92,True,multi_bound_constraint,frac_constrained=0.733 >= 0.150,15,0,11,4,0.0,0.7333333333333333,0.26666666666666666,0,1,constrained,0.7333333333333333,bound_constraint,"constrained,bound"
multi,4,2,94,True,multi_bound_constraint,frac_constrained=0.316 >= 0.150,19,0,6,13,0.0,0.3157894736842105,0.6842105263157895,0,2,bound,0.6842105263157895,bound_constraint,"constrained,bound"
multi,4,2,98,True,multi_bound_constraint,frac_constrained=0.613 >= 0.150,75,0,46,29,0.0,0.6133333333333333,0.38666666666666666,0,1,constrained,0.6133333333333333,bound_constraint,"constrained,bound"
multi,4,2,99,False,reject_bound_constraint_low_constrained,frac_constrained=0.020 < 0.150,201,0,4,197,0.0,0.01990049751243781,0.9800995024875622,0,2,bound,0.9800995024875622,bound_constraint,"constrained,bound"
multi,4,2,101,False,reject_constraint_diffusion,"frac_constrained=0.364, max_consecutive_diffusive=7",11,7,4,0,0.6363636363636364,0.36363636363636365,0.0,7,0,diffusive,0.6363636363636364,constraint_diffusion,"diffusive,constrained"
multi,4,2,102,True,multi_bound_constraint,frac_constrained=0.279 >= 0.150,43,0,12,31,0.0,0.27906976744186046,0.7209302325581395,0,2,bound,0.7209302325581395,bound_constraint,"constrained,bound"
multi,4,2,106,True,multi_bound_constraint,frac_constrained=0.304 >= 0.150,23,0,7,16,0.0,0.30434782608695654,0.6956521739130435,0,2,bound,0.6956521739130435,bound_constraint,"constrained,bound"
multi,4,2,108,True,multi_bound_constraint,frac_constrained=0.375 >= 0.150,16,0,6,10,0.0,0.375,0.625,0,2,bound,0.625,bound_constraint,"constrained,bound"
multi,4,2,110,False,reject_bound_constraint_low_constrained,frac_constrained=0.074 < 0.150,136,0,10,126,0.0,0.07352941176470588,0.9264705882352942,0,2,bound,0.9264705882352942,bound_constraint,"constrained,bound"
multi,4,2,112,False,reject_bound_constraint_low_constrained,frac_constrained=0.125 < 0.150,48,0,6,42,0.0,0.125,0.875,0,2,bound,0.875,bound_constraint,"constrained,bound"
multi,4,2,117,False,reject_all_three,"frac_constrained=0.531, max_consecutive_diffusive=12",64,12,34,18,0.1875,0.53125,0.28125,12,1,constrained,0.53125,all_three,"diffusive,constrained,bound"
multi,4,2,122,True,multi_bound_constraint,frac_constrained=0.553 >= 0.150,38,0,21,17,0.0,0.5526315789473685,0.4473684210526316,0,1,constrained,0.5526315789473685,bound_constraint,"constrained,bound"
multi,4,2,124,True,multi_bound_constraint,frac_constrained=0.151 >= 0.150,172,0,26,146,0.0,0.1511627906976744,0.8488372093023255,0,2,bound,0.8488372093023255,bound_constraint,"constrained,bound"
multi,4,2,126,True,multi_bound_constraint,frac_constrained=0.364 >= 0.150,11,0,4,7,0.0,0.36363636363636365,0.6363636363636364,0,2,bound,0.6363636363636364,bound_constraint,"constrained,bound"
multi,4,2,127,True,multi_constraint_diffusion,frac_constrained=0.455 >= 0.300; max_consecutive_diffusive=3 < 4,11,6,5,0,0.5454545454545454,0.45454545454545453,0.0,3,0,diffusive,0.5454545454545454,constraint_diffusion,"diffusive,constrained"
multi,4,2,129,True,multi_constraint_diffusion,frac_constrained=0.833 >= 0.300; max_consecutive_diffusive=3 < 4,18,3,15,0,0.16666666666666666,0.8333333333333334,0.0,3,1,constrained,0.8333333333333334,constraint_diffusion,"diffusive,constrained"
multi,4,2,130,True,multi_bound_constraint,frac_constrained=0.400 >= 0.150,10,0,4,6,0.0,0.4,0.6,0,2,bound,0.6,bound_constraint,"constrained,bound"
multi,4,2,135,True,multi_constraint_diffusion,frac_constrained=0.786 >= 0.300; max_consecutive_diffusive=3 < 4,14,3,11,0,0.21428571428571427,0.7857142857142857,0.0,3,1,constrained,0.7857142857142857,constraint_diffusion,"diffusive,constrained"
multi,4,2,137,False,reject_bound_constraint_low_constrained,frac_constrained=0.048 < 0.150,145,0,7,138,0.0,0.04827586206896552,0.9517241379310345,0,2,bound,0.9517241379310345,bound_constraint,"constrained,bound"
multi,4,2,140,True,multi_bound_constraint,frac_constrained=0.211 >= 0.150,123,0,26,97,0.0,0.21138211382113822,0.7886178861788617,0,2,bound,0.7886178861788617,bound_constraint,"constrained,bound"
multi,4,2,142,True,multi_bound_constraint,frac_constrained=0.630 >= 0.150,73,0,46,27,0.0,0.6301369863013698,0.3698630136986301,0,1,constrained,0.6301369863013698,bound_constraint,"constrained,bound"
multi,4,2,143,False,reject_all_three,"frac_constrained=0.200, max_consecutive_diffusive=4",15,4,3,8,0.26666666666666666,0.2,0.5333333333333333,4,2,bound,0.5333333333333333,all_three,"diffusive,constrained,bound"
multi,4,2,146,False,reject_constraint_diffusion,"frac_constrained=0.654, max_consecutive_diffusive=5",26,9,17,0,0.34615384615384615,0.6538461538461539,0.0,5,1,constrained,0.6538461538461539,constraint_diffusion,"diffusive,constrained"
multi,4,2,150,False,reject_constraint_diffusion,"frac_constrained=0.308, max_consecutive_diffusive=9",13,9,4,0,0.6923076923076923,0.3076923076923077,0.0,9,0,diffusive,0.6923076923076923,constraint_diffusion,"diffusive,constrained"
