Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
2,3,48,0,diffusion,single_stable_state,1963,1975,13,13,13,0,13,0,0,13,0,0,0.13
2,3,51,1,constrained_diffusion,single_stable_state,2009,2020,12,12,12,0,0,12,0,0,12,0,0.12
2,3,52,0,diffusion,single_stable_state,2114,2136,23,23,22,1,22,1,0,22,0,0,0.23
2,3,64,0,diffusion,single_stable_state,3091,3101,11,11,11,0,11,0,0,11,0,0,0.11
2,3,66,0,diffusion,single_stable_state,3101,3117,17,17,17,0,17,0,0,17,0,0,0.17
2,3,67,0,diffusion,single_stable_state,3111,3121,11,11,11,0,11,0,0,11,0,0,0.11
3,1,1,0,diffusion,single_stable_state,0,9,10,10,10,0,10,0,0,10,0,0,0.1
3,1,2,0,diffusion,single_stable_state,2,13,12,12,11,1,11,1,0,11,0,0,0.12
3,1,5,0,diffusion,single_stable_state,22,34,13,13,13,0,13,0,0,13,0,0,0.13
3,1,9,0,diffusion,single_stable_state,47,57,11,11,11,0,11,0,0,11,0,0,0.11
3,1,14,0,diffusion,single_stable_state,76,91,16,16,14,2,14,2,0,14,0,0,0.16
3,1,15,0,diffusion,single_stable_state,80,91,12,12,12,0,12,0,0,12,0,0,0.12
3,1,17,0,diffusion,single_stable_state,96,106,11,11,11,0,11,0,0,11,0,0,0.11
3,1,19,0,diffusion,single_stable_state,102,113,12,12,11,1,11,1,0,11,0,0,0.12
3,1,29,0,diffusion,single_stable_state,245,254,10,10,10,0,10,0,0,10,0,0,0.1
3,1,31,0,diffusion,single_stable_state,267,277,11,11,11,0,11,0,0,11,0,0,0.11
3,1,36,0,diffusion,single_stable_state,315,326,12,12,12,0,12,0,0,12,0,0,0.12
3,1,37,0,diffusion,single_stable_state,476,488,13,13,13,0,13,0,0,13,0,0,0.13
3,1,40,0,diffusion,single_stable_state,507,516,10,10,9,1,9,1,0,9,0,0,0.1
3,1,48,1,constrained_diffusion,single_stable_state,608,620,13,13,13,0,0,13,0,0,13,0,0.13
