,Video #,Cell,Track,From,To,Time,Speed,Distance,x1,y1,x2,y2
46,4,1,118,1,1,9,0.6719564850246131,0.5318696929923621,433.2297414048176,68.90984759602867,393.5881859815344,63.02307933792039
47,4,1,118,1,1,7,188.64264771205066,0.4639162537692042,393.5881859815344,63.02307933792038,432.89006408430936,69.70002590071877
48,4,2,1,1,1,14,0.6919307423440131,0.7043889326087034,272.38868563723804,169.88807484661646,312.1076071652392,193.97172645753744
49,4,2,1,1,1,8,0.847271836114032,0.3339732368169856,312.1076071652392,193.97172645753744,311.5179974782537,193.90143615186003
50,4,2,18,1,1,6,0.8308810557506511,0.12539989701379575,242.68476172323096,187.69474862216757,220.58870146808601,170.05293404353358
51,4,2,32,1,2,6,0.938074170102314,1.01326420992977,257.8999469508316,123.70935773226691,258.65791291684985,124.5249713265866
52,4,2,37,1,1,4,0.39761067539314376,0.7470443983928915,309.1196900543811,175.30064522512615,308.1744860942069,176.59547927839657
53,4,2,37,1,1,4,0.5215424137269011,0.6872666069922889,307.28159576131327,177.43533926091143,303.391856289508,174.17056156781624
54,4,2,37,1,1,10,0.5980481569722056,0.4847446140986488,308.11283305731337,177.14872673899268,309.07806884600234,177.13767406844872
55,4,2,56,1,1,10,0.49201384447505997,0.1966869243869398,310.67634626543384,171.8114891984638,310.08004740508994,172.20219822534497
56,4,2,93,1,1,4,0.33456767189285175,0.4960673126096722,244.5512463161162,158.71277767570098,244.56432999873823,158.5046927115103
57,4,2,104,1,2,4,0.35306796102152527,1.2174182008426808,267.94120724062964,150.88849865326182,305.6120556918189,172.85893288414593
58,5,1,2,1,1,4,0.7264634251138191,0.7087025350393242,237.02525125045864,92.4315196634872,236.67995926076122,92.88593264880897
59,5,1,2,1,1,15,34.72392907743524,0.9192949033259357,236.67995926076122,92.885932648809,236.80920691366617,92.28080166632657
60,5,1,6,1,2,9,0.8368203074188625,1.3715898893099934,228.98240353520754,128.33513932552566,228.43996543388178,127.00200337290545
61,5,1,7,1,1,4,0.45522322977015584,0.4037645467393156,184.0311711882379,141.43443661501678,184.79026288363266,141.9533084773739
62,5,1,7,1,1,6,0.5193389932878268,0.6577478861136417,184.79026288363266,141.9533084773739,184.5773796985934,142.28534769724084
63,5,1,7,1,2,5,0.4590556712128267,1.388599904991315,184.57737969859338,142.28534769724087,183.6714115730038,140.88333601660477
64,5,1,7,1,1,6,0.6012039717418204,0.8513497178672341,183.6714115730038,140.88333601660477,182.4585729503485,140.85437923218274
65,5,1,10,1,1,4,55.18374282878455,0.2373420339238249,150.44904701191174,109.07953389721172,158.16140018882194,114.68832410456011
66,5,1,27,1,1,7,82.44587771095489,0.762540659753261,166.43094331997793,169.1321010400294,164.65231721394466,167.90900850221857
67,5,1,27,1,1,5,115.44421590701556,0.37822757323884426,164.65231721394466,167.90900850221857,171.28702779618558,174.89028697441856
68,5,1,27,1,1,4,0.6999192132845818,0.804017423674884,171.28702779618558,174.8902869744186,199.59597692662732,204.10293422297656
69,5,1,67,1,2,10,0.7128366229427272,1.6884345854005909,196.08440845833357,175.94717178647048,197.13312389403487,176.0590660335247
70,5,1,82,1,1,4,0.6929357372130293,0.6800046059655425,190.77699513191538,114.12692737142197,190.56404269252138,113.57541358369545
71,5,1,82,1,1,4,111.59096920137534,0.19297068225177397,190.56404269252138,113.57541358369545,191.25719204903058,114.10651220959662
72,5,1,82,1,1,4,0.5281079949333414,0.31002514257174185,191.2571920490306,114.10651220959662,182.87681698347515,109.32425015951526
73,5,2,2,1,2,5,0.6089291817285393,1.045503308759174,104.43804093962076,104.14304369447966,105.1857522116041,104.61206694861222
74,5,2,3,1,1,14,39.28254043709818,0.516835838489102,152.4086320526175,94.88417838554099,151.86751368908872,94.40773375547937
75,5,2,3,1,2,5,0.4992189358144675,1.249227929814838,151.86751368908872,94.40773375547937,153.10664965447765,95.16507295812355
76,5,2,6,1,1,12,1.1734900078175785,0.67528814237894,138.52848450046707,94.29501688777133,137.9365330288719,94.11236536097574
77,5,2,59,1,1,5,72.65497498172348,0.07914596252276723,173.50610733756898,45.13627004042944,173.45953746853934,45.525995198690616
78,5,2,60,1,1,4,90.7690177003909,0.8070053684644679,173.47038185996703,45.74293313419211,162.58708192564123,43.08924271881313
79,5,2,62,1,1,4,0.46694717481706327,0.028389394137506466,168.78660805887304,45.0569882301124,167.5233914015882,44.278955480920295
80,5,2,65,1,1,4,0.45615691542614706,0.2380733245587743,136.9017041629132,63.98367588382048,136.45030687097858,63.687810688212856
81,6,1,73,1,2,9,1.5814607558893539,4.696365952383752,169.70474492932314,37.98659797916652,165.26312302128338,37.615782649285
82,6,2,1,1,2,22,0.9139677611537868,7.247221213065592,48.86971914965974,184.40827450292886,41.63271214262649,186.43995344308405
83,6,2,48,1,2,19,0.7870264973420414,1.996211351132365,109.94047515569984,210.4432778546399,112.07125610774825,210.11904884886332
84,6,2,67,1,2,5,0.49650189283014123,2.6148888142341047,73.96565907117373,161.4862278143109,75.93108490943754,162.7656718129611
85,6,2,211,1,1,6,0.5774751203272818,0.49483133323573514,133.21927318600913,99.64383792562897,134.66940661275387,99.79880131271837
86,6,3,37,1,2,14,1.070785275521949,2.238364697512161,465.8096239426603,184.38866667618214,464.9011957813337,185.95347503788602
87,6,3,37,1,2,7,0.6938413420053896,2.8338087861660215,464.9011957813337,185.953475037886,466.05556525439005,183.8903640430588
88,6,3,37,1,1,4,0.36155225640863675,0.3297271913123895,466.05556525439,183.8903640430588,466.50038262703214,184.23370882337326
89,6,3,193,1,1,6,0.6561441509846487,0.38671574346112486,378.7892177242246,134.4705200326301,379.49283951197776,133.67934477942865
90,7,1,17,1,1,5,0.5049074529431807,0.5368672507296651,32.26541487488937,63.41590432447908,31.572496989043056,61.85453689228417
91,7,1,17,1,2,14,0.7077954513045107,1.8575853520274634,32.15184092083218,62.3870228324544,30.666559850731307,62.50680482519225
92,7,1,17,1,1,4,0.5195930787812507,0.16234700092055346,30.66655985073131,62.50680482519225,30.81915029129681,63.06734848857639
93,7,1,17,1,1,5,0.5175354083242125,0.5473834916381591,30.81915029129682,63.06734848857639,30.28734567278562,63.735111292521424
94,7,1,65,1,1,5,0.32359174056870466,0.6635906391420949,83.07676494178362,15.503034710183632,83.799236650852,15.01966652045731
95,7,1,65,1,2,5,0.5030352622347892,1.0025044701707795,84.7776268741523,15.842485061091523,83.32833672100172,15.502498844001627
96,7,1,93,1,2,5,0.6264413372579583,2.0355074823539985,40.132298539692115,81.70782872018314,42.056994135040455,80.89748757806804
97,7,1,117,1,2,7,0.5989316323620489,1.705285105324808,116.74353047804169,75.1131651405516,116.04116434018825,76.99947549997634
98,7,1,117,1,2,25,1.137721796021764,2.9337659142581796,116.04116434018825,76.99947549997634,101.73577450717151,70.1388785233001
99,7,1,129,1,1,10,29.482322538167853,0.365741242232737,118.8484231527046,80.61198224828841,118.67180681663132,81.61718939312095
100,7,1,183,1,1,5,0.7017275872960593,0.6859278968803413,32.457550700887076,67.63938299844476,32.53598432302306,68.56736329055732
101,7,1,183,1,2,13,6.874686249297015,8.248942893826884,32.53598432302305,68.56736329055732,35.184585033694205,61.28101529579908
102,7,2,1,1,1,10,0.601280788189662,0.37799277218530836,269.19018031808264,130.09473477045202,269.0290093729292,130.10188951121827
103,7,2,11,1,1,15,0.9211191619523187,0.40044083011358417,194.55524300401166,115.7607802338189,194.4567185341367,116.2909179890249
104,7,2,42,1,1,5,0.6451761190145919,0.8670012537872444,309.1950830954643,164.63202615495533,309.47402589299446,165.9734551784227
105,7,2,114,1,2,5,1.180722762094916,5.661522602287871,300.71558870382916,153.14038172508893,306.3658057991811,153.20370037634876
106,7,2,123,1,1,5,0.45752822451777053,0.7929543794284947,288.05685198979097,120.23451533402321,288.25519138149247,120.21148539283469
107,7,2,131,1,1,4,0.3315210046205642,0.6148894080803716,273.34736599549007,101.41719312995231,273.03292031705985,102.11147492074184
108,7,3,1,1,1,4,0.35089002097914157,0.38937180076334393,387.23064097166605,130.87199064757357,387.34605711449177,130.87419911120642
109,7,3,2,1,2,11,0.9301619450230801,3.6806159336738165,430.1770597332897,182.07676244391592,431.16495048883365,185.45748399518445
110,7,3,21,1,1,4,0.48525515164692234,0.7411455870763521,349.53978933606015,178.50434105985732,349.9966992331534,178.25229616333434
111,7,3,21,1,1,7,0.5154100004900516,0.5341165175705038,349.9966992331534,178.25229616333434,350.0937488530333,177.95112434887378
112,7,3,28,1,1,7,0.9169962343467853,0.5566448376611838,385.3596243642333,155.85334529157836,395.57696344311324,159.9031801922556
113,7,3,42,1,1,5,88.36513538781868,0.6183879309372432,398.6830134076592,182.77377282595367,398.515848028448,182.59009099186426
114,7,3,44,1,2,8,0.5045401828669878,1.3745919024455302,444.64072079335756,208.134807231719,444.76474081157454,209.04051673571809
115,7,3,44,1,1,6,0.4720190786501705,0.8267500219723057,444.75453974227116,208.91847854950677,444.6318945907014,210.07877351281715
116,7,3,44,1,2,4,0.43663778392084757,1.0303499142844972,444.6318945907014,210.0787735128171,443.9070570756808,210.68939850555552
