Video #,Cell,Track,global_D,global_alpha,trapping_score_mean,trapping_score_max,frac_high_score_windows,geometry_trapping_score_mean,geometry_trapping_score_max,frac_high_geometry_windows,frac_supported_high_score_windows,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,n_diffusive_bursts_ge_min,diffusive_burst_demoted,persistent_trapping,persistent_intervals,temporal_track_score,trap_prob_mean,constrained_prob_mean,bound_prob_mean,trap_entry_rate,trap_exit_rate,state_switch_rate,mean_trap_dwell_frames,max_trap_dwell_frames,mean_trap_dwell_s,max_trap_dwell_s,classification
1,2,47,0.001870760897826859,0.3760843777029446,1.6807980135584142,2.5761698481825097,0.75,1.275360220408888,2.1707320550329836,0.75,0.75,0.0,0.0,1.0,0.0,0.0,False,True,1761 - 1822,2.765613137130642,0.9999762742612843,0.002052454192291439,0.9979238200689927,0.0,0.0,0.0,66.0,66.0,0.66,0.66,trapping_like
1,2,48,0.34269639998894513,0.8554943576054064,-11.030460763840523,-6.297974483427652,0.0,-11.434795439141306,-6.702309158728433,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,1.4918002321760042,0.997805009806554,0.9959613858446299,0.0018436239619238344,0.0,0.0,0.0,34.0,34.0,0.34,0.34,mixed
1,2,50,0.007053713468399788,0.51967736042847,0.2717888870648329,1.1853123961904486,0.0,-0.13339816607218652,0.7798746030409226,0.0,0.0,0.0,0.02,0.98,0.0,0.0,False,False,,2.126439695851962,0.9994587052475226,0.017003195239566435,0.9824555100079558,0.0,0.0,0.02040816326530612,50.0,50.0,0.5,0.5,mixed
1,2,62,15.090334155181925,6.418042245880067e-19,-22997.3324141721,-13709.795061375053,0.0,-22997.736748847397,-13710.199396050353,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6957180460813135,0.9965497285262634,0.9940879206152214,0.002461807911042064,0.0,0.0,0.0,14.0,14.0,0.14,0.14,mixed
1,3,3,0.027086977076487342,0.9123774782263583,0.2172425916709058,0.2616679647311428,0.0,-0.18819520147862032,-0.14376982841838332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,,0.6178470100250814,0.9998985655047082,0.0048495921392813215,0.995048973365427,0.0,0.0,0.0,12.0,12.0,0.12,0.12,mixed
1,3,25,0.00586598166371692,0.18144243597856474,-2.727545345640568,-2.706901326024564,0.0,-3.131880020941349,-3.1112360013253446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6159947600167193,0.996194065487984,0.9935571054574116,0.002636960030572389,0.0,0.0,0.0,12.0,12.0,0.12,0.12,mixed
1,3,37,0.0005868324947119422,0.11219245714824275,1.9610940343322494,2.416192506209247,1.0,1.5556562411827233,2.010754713059721,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,True,1734 - 1778,1.9303818350604365,0.9999682155754185,0.0023425277567940953,0.997625687818624,0.0,0.0,0.0,45.0,45.0,0.45,0.45,trapping_like
1,4,1,0.004835176998605244,0.3389352245093682,-0.04304376252905032,1.8940060148595725,0.04891304347826087,-0.4439084509729812,1.4885682217100464,0.04891304347826087,0.04891304347826087,0.0,0.32989690721649484,0.6701030927835051,0.0,0.0,False,True,101 - 115;137 - 151,7.850402818994733,0.9993954872593661,0.32911949363516835,0.6702759936241978,0.0,0.0,0.046632124352331605,194.0,194.0,1.94,1.94,trapping_like
1,4,2,29.598854572089127,0.10283441804034485,-31191.89332628738,-1.8685512529964754,0.0,-31192.29766096268,-2.272885928297256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,1.3724395327660752,0.9977199746230591,0.9958344736839374,0.0018855009391216492,0.0,0.0,0.0,31.0,31.0,0.31,0.31,mixed
1,4,5,32.323546902681926,1.4123903173931768e-20,-32138.561800720927,-1.6500277285764349,0.0,-32138.966135396233,-2.0543624038772155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.7355619059599734,0.9966919937381286,0.9943002466746589,0.002391747063469416,0.0,0.0,0.0,15.0,15.0,0.15,0.15,mixed
1,4,8,0.005595378704044294,0.1829213910728652,-1.412616149777718,1.3204390279477023,0.0,-1.8134013604092296,0.9150012347981763,0.0,0.0,0.0,0.6981132075471698,0.3018867924528302,0.0,0.0,False,False,,2.2430000107489105,0.9984563152041154,0.6958105124371421,0.30264580276697334,0.0,0.0,0.038461538461538464,53.0,53.0,0.53,0.53,mixed
1,4,9,0.01762765870684807,0.5064926031973728,-1.6215442751031868,-0.9225681095830325,0.0,-2.025878950403967,-1.326902784883813,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,1.014287860295246,0.9973257205904922,0.9952460627570897,0.0020796578334024277,0.0,0.0,0.0,22.0,22.0,0.22,0.22,mixed
1,4,10,49.00429836484965,3.983114189367695e-15,-68264.98430403037,-68257.95028420984,0.0,-68265.38863870568,-68258.35461888515,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6159947600167193,0.996194065487984,0.9935571054574116,0.002636960030572389,0.0,0.0,0.0,12.0,12.0,0.12,0.12,mixed
