source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
multi,2,3,68,True,multi_bound_constraint,frac_constrained=0.924 >= 0.150,66,0,61,5,0.0,0.9242424242424242,0.07575757575757576,0,1,constrained,0.9242424242424242,bound_constraint,"constrained,bound"
multi,2,3,72,True,multi_constraint_diffusion,frac_constrained=0.833 >= 0.300; max_consecutive_diffusive=3 < 4,18,3,15,0,0.16666666666666666,0.8333333333333334,0.0,3,1,constrained,0.8333333333333334,constraint_diffusion,"diffusive,constrained"
multi,3,1,7,False,reject_constraint_diffusion,"frac_constrained=0.103, max_consecutive_diffusive=19",29,26,3,0,0.896551724137931,0.10344827586206896,0.0,19,0,diffusive,0.896551724137931,constraint_diffusion,"diffusive,constrained"
multi,3,1,13,False,reject_constraint_diffusion,"frac_constrained=0.273, max_consecutive_diffusive=8",11,8,3,0,0.7272727272727273,0.2727272727272727,0.0,8,0,diffusive,0.7272727272727273,constraint_diffusion,"diffusive,constrained"
multi,3,1,26,False,reject_constraint_diffusion,"frac_constrained=0.647, max_consecutive_diffusive=6",17,6,11,0,0.35294117647058826,0.6470588235294118,0.0,6,1,constrained,0.6470588235294118,constraint_diffusion,"diffusive,constrained"
multi,3,1,66,False,reject_constraint_diffusion,"frac_constrained=0.357, max_consecutive_diffusive=9",14,9,5,0,0.6428571428571429,0.35714285714285715,0.0,9,0,diffusive,0.6428571428571429,constraint_diffusion,"diffusive,constrained"
multi,3,1,68,True,multi_bound_constraint,frac_constrained=0.297 >= 0.150,101,0,30,71,0.0,0.297029702970297,0.7029702970297029,0,2,bound,0.7029702970297029,bound_constraint,"constrained,bound"
multi,3,1,69,False,reject_all_three,"frac_constrained=0.452, max_consecutive_diffusive=5",31,8,14,9,0.25806451612903225,0.45161290322580644,0.2903225806451613,5,1,constrained,0.45161290322580644,all_three,"diffusive,constrained,bound"
multi,3,1,70,False,reject_constraint_diffusion,"frac_constrained=0.462, max_consecutive_diffusive=7",13,7,6,0,0.5384615384615384,0.46153846153846156,0.0,7,0,diffusive,0.5384615384615384,constraint_diffusion,"diffusive,constrained"
multi,3,1,72,False,reject_constraint_diffusion,"frac_constrained=0.222, max_consecutive_diffusive=9",18,14,4,0,0.7777777777777778,0.2222222222222222,0.0,9,0,diffusive,0.7777777777777778,constraint_diffusion,"diffusive,constrained"
