protein,dataset_name,condition,replicate,track_id,distance_to_H2B_Bound,distance_to_MCM2_Bound,P_H2B_Bound,P_MCM2_Bound,closer_to_bound_control
NONO,HAP1-0426-CT,CT,426,107,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,108,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,109,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,113,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,117,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,118,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,121,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,124,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,130,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,131,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,135,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,140,1.6106391331261034,1.5678761769687628,0.49418266908676634,0.5058173309132337,neither_clear_margin
