protein,dataset_name,condition,genotype,treatment,replicate,track_id,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,distance_to_NLS,distance_to_H2B,distance_to_MCM2_Bound,distance_to_H2B_Bound,distance_to_MCM2_Bound_HighConfidence,control_outlier_score,trapping_score,temporal_score,trap_prob_mean,max_trap_dwell_frames,n_supported_high_score_windows,frac_diffusive,max_consecutive_diffusive,passed_not_free_gate,passed_not_h2b_gate,passed_not_mcm2_gate,passed_temporal_support_gate,passed_no_diffusive_burst_gate,passed_control_outlier_gate,passed_feature_completeness_gate,passed_target_protein_gate,failed_gate_count,first_failed_gate,all_failed_gates,near_miss_target_specific,final_control_guided_class,classification_reason
NONO,HAP1-0426-CT,CT,HAP1,CT,426,66,0.0,1.0,0.0,3.347969976459963,0.8605170816537264,1.7252060809779186,1.6106391331261034,1.7252060809779186,0.8605170816537264,,,0.9971538790509988,13.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,66,0.0,1.0,0.0,3.347969976459963,0.8605170816537264,1.7252060809779186,1.4081582336985798,1.7252060809779186,0.8605170816537264,,,0.9971538790509988,13.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,67,0.4431160219406518,0.5568839780593486,0.0,3.202230215829468,0.808037043091851,2.424708366422605,1.6106391331261034,2.424708366422605,0.808037043091851,,,0.9975714060732104,20.0,,0.0,0.0,True,True,True,False,True,False,True,True,2,temporal_support,temporal_support;control_outlier,True,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,67,0.4431160219406518,0.5568839780593486,0.0,3.202230215829468,0.808037043091851,2.424708366422605,1.2012352360802934,2.424708366422605,0.808037043091851,,,0.9975714060732104,20.0,,0.0,0.0,True,True,True,False,True,False,True,True,2,temporal_support,temporal_support;control_outlier,True,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,75,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9970239458988976,18.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,75,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.4510119276894842,3.952440523112181,2.200414555087334,,,0.9970239458988976,18.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,80,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9971899219792746,20.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,80,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.40271313506642,3.952440523112181,2.200414555087334,,,0.9971899219792746,20.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,83,0.6633333333333333,0.3366666666666666,0.0,3.411173703829454,0.989004094074996,1.600056396041673,1.6106391331261034,1.600056396041673,0.989004094074996,,,0.99941503431268,106.0,,0.0,0.0,False,True,True,False,True,False,True,True,3,not_free,not_free;temporal_support;control_outlier,False,free_like,High free-like control probability or NLS control role; classified as free_like.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,83,0.6633333333333333,0.3366666666666666,0.0,3.411173703829454,0.989004094074996,1.600056396041673,2.678778546713313,1.600056396041673,0.989004094074996,,,0.99941503431268,106.0,,0.0,0.0,False,True,True,False,True,False,True,True,3,not_free,not_free;temporal_support;control_outlier,False,free_like,High free-like control probability or NLS control role; classified as free_like.
