protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,bound_control_class,source_file,source_folder,video_id,cell_id,track_id,n_frames,track_length,step_size_mean,step_size_median,step_size_p95,path_length,net_displacement,Rg,intensity_mean,intensity_std,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,158,32,32,0.4467066890506334,0.40830270546736347,0.8127666735013598,13.847907360569634,0.8963789691509205,0.5645465784094047,89413.34375,1834.372734652665,0.0,0.0,1.0,0,0,32,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,167,58,58,0.2802706172879155,0.23487707714516468,0.599594813819711,15.975425185411185,0.10148685734968177,0.31151192395754135,90380.03448275862,1401.9459904695286,0.0,0.0,1.0,0,0,58,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,173,44,44,0.34404147348281877,0.33041460101235626,0.6374763005379769,14.793783359761207,0.8238813525594628,0.472341320782426,90445.79545454546,1361.5827585391023,0.0,0.0,1.0,0,0,44,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,183,50,50,0.3875681158784055,0.4165166648563309,0.6487075207278715,18.99083767804187,0.2767590589964194,0.42105821957011236,90653.78,1401.4834311382715,0.0,0.0,1.0,0,0,50,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,188,29,29,0.5037396437796346,0.46706561321286477,0.9384706934545557,14.104710025829771,0.42622684710399,0.44805274806849893,87014.79310344828,1517.0828299100488,0.0,0.0,1.0,0,0,29,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,197,27,27,0.2029197690575814,0.18809544753976215,0.28396269542253627,5.275913995497117,0.2607516014545451,0.22820475373157117,95217.77777777778,1273.9962665484884,0.0,0.0,1.0,0,0,27,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,199,10,10,36.46969037139642,0.5588627676692925,81.87552155325375,328.2272133425678,0.44747493248934606,32.66528509605692,66269.3,34931.67479857405,0.0,0.0,1.0,0,0,10,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,200,17,17,0.330748006492929,0.3516555385242711,0.4959110462367839,5.291968103886864,0.18528582566608565,0.2982265140445237,91524.82352941176,1534.2454267201726,0.0,0.0,1.0,0,0,17,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,202,12,12,0.40760229677787,0.40862878436070893,0.7030407937208534,4.48362526455657,0.8411377265810498,0.4931161032544378,88386.0,996.3713254514194,0.0,0.0,1.0,0,0,12,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,207,14,14,0.5902154313382496,0.45870293172751353,1.0756103884844248,7.672800607397245,0.0728968444079026,0.45216755588274676,89600.28571428571,913.7518118320608,0.0,0.0,1.0,0,0,14,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,222,46,46,0.2915769856106726,0.27856046984866706,0.4967100370203461,13.120964352480266,0.39505852717735535,0.3310753190526939,92436.04347826086,2438.3915186178847,0.0,0.0,1.0,0,0,46,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,225,21,21,0.3177308590906834,0.3019694057529698,0.5598126581911592,6.354617181813667,0.21286384055881488,0.2605691394710156,89220.80952380953,2129.797258403898,0.0,0.0,1.0,0,0,21,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,230,22,22,0.32833019344972036,0.3739676388371006,0.5784569570336748,6.894934062444127,0.26109046251663326,0.34153356172657173,89783.36363636363,2075.5019942506747,0.0,0.0,1.0,0,0,22,0
