protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,video_id,cell_id,track_id,old_classification,final_control_guided_class
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,38,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,39,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,40,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,47,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,49,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,2,6,53,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,8,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,17,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,26,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,27,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,53,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,57,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,65,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,67,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,79,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,82,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,92,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,93,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,102,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,104,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,112,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,1,121,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,2,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,9,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,15,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,24,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,26,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,46,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,55,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,74,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,83,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,90,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,94,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,100,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,106,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,112,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,116,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,117,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,2,134,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,7,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,9,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,38,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,48,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,51,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,63,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,75,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,81,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,82,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,95,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,97,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,101,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,104,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,108,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,111,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,134,trapping_like,
